policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.7302846853931082,"[-0.09769435824834083, 0.7237206188068404]","[-0.1358987001969935, 0.8577674893181712]",0.2,0.3838691350434145,0.49370668738886514,84000093,,-16.05,0.3838691350434145
random,miss,False,0.17557853286727734,"[-0.021105297002742815, 0.1743054435244396]","[-0.009647592022705695, 0.3108849460372063]",1.8,1.9250414528662063,0.5426397213470572,84000094,,-11.746525728716115,1.9250414528662063
random,miss,False,0.09830503105139331,"[0.011068199416942509, 0.09767995747174646]","[0.03539611875091947, 0.10805267775766514]",2.7,2.83191185074494,0.5243677450043484,84000095,,-6.962308669826131,2.83191185074494
random,miss,False,0.20867936531775233,"[-0.08621829680980471, -0.1900354777525406]","[-0.11135101814892105, -0.2458706727278242]",2.0,2.2291514463371787,0.44597757839899227,84000096,,-14.807000593945546,2.2291514463371787
random,miss,False,0.20944667741373843,"[-0.2092079110227042, 0.009998032064906195]","[-0.2657726271022419, 0.07360345564809091]",2.5,2.7019945033813046,0.5389603840052686,84000097,,-15.007937438971503,2.7019945033813046
random,miss,False,0.5306550198688497,"[0.459995320749055, 0.2645733452201548]","[0.5530797421833646, 0.3583925723606354]",0.30000000000000004,0.5153556155386382,0.4669276188035481,84000098,,-16.075,0.5153556155386382
random,miss,False,0.10961526701526737,"[-0.07530739324580221, -0.07965113486542716]","[-0.05549209648722053, -0.12589905961422668]",2.5,2.7495525834424175,0.5031961560273986,84000099,,-7.468906926113222,2.7495525834424175
random,miss,False,0.16542250456367463,"[-0.09319871676834005, -0.13666969016154856]","[-0.14936308553782385, -0.22423033884195526]",2.1,2.2730946000226147,0.5121068848113164,84000100,,-11.001829589613953,2.2730946000226147
random,miss,False,0.07316166387847967,"[0.07109701862453462, -0.01725812864044692]","[0.0719510259093716, 0.0032190730803398444]",4.9,5.010123926580448,0.5347492879019641,84000101,,-6.491894452418375,5.010123926580448
random,miss,False,0.9012545709313572,"[0.15789671243817868, -0.8873152933573724]","[0.16958995966656817, -1.0419856059617243]",0.2,0.3536081320789368,0.441775562922393,84000102,,-16.05,0.3536081320789368
random,hit,True,0.06369315897344947,"[-0.0636646061893726, -0.0019069396343899142]","[-0.05939491949015903, -0.001132432398740809]",6.0,6.2393642185263865,0.5029219711829012,84000103,,5.539806272185302,6.2393642185263865
