#{"t_start": 1788592621.5564365, "env_id": "None"}
r,l,t
6.432075,32,5.573566
6.590741,19,5.58399
-16.087748,3,5.58399
6.181582,30,5.594464
-9.113893,28,5.605054
-16.076459,3,5.605054
-6.663411,37,5.677691
-16.108705,4,5.677691
-6.57675,39,5.697648
-11.080459,4,5.697648
-5.919957,27,5.707947
-8.989376,18,5.717905
6.9207,30,5.728183
-16.176206,5,5.728183
-13.713626,13,5.728183
5.974747,30,5.740299
6.236074,39,5.758923
-8.784935,32,5.769488
-7.607504,38,5.779706
-10.906104,8,5.779706
-7.030018,21,5.792344
-16.125245,4,5.800204
5.941137,35,5.810657
-10.073976,26,5.821179
6.676797,32,5.831644
-8.091854,32,5.831644
-16.13564,4,5.842099
-7.929079,35,5.852407
-6.514087,26,5.965902
-7.002692,54,5.993804
-6.537502,27,5.99907
5.826328,43,6.016614
5.895763,56,6.029563
-11.540536,27,6.037268
6.04932,46,6.047361
-6.724737,42,6.071584
-7.521206,32,6.078159
-6.93776,25,6.089384
5.746981,49,6.098948
-6.607298,35,6.119828
-7.248592,26,6.140812
-11.205669,25,6.151371
-8.984314,42,6.274971
6.816451,31,6.292112
-6.251591,26,6.295708
-7.286881,40,6.315944
-8.070307,34,6.329014
5.69051,54,6.357558
6.882959,32,6.371908
6.087835,42,6.389127
5.562973,42,6.397933
-8.01707,8,6.397933
-6.729746,34,6.41204
5.592279,49,6.428652
6.300523,29,6.438786
5.182258,58,6.456483
6.858286,26,6.541954
5.98554,42,6.551748
-14.717183,27,6.561851
6.618054,29,6.571944
-7.579605,59,6.582374
5.282211,52,6.602839
6.089136,53,6.620305
-16.111632,4,6.620305
6.386994,34,6.623444
6.201593,36,6.637095
-6.461772,39,6.665095
-7.190197,58,6.693758
5.266648,62,6.718484
-7.207375,20,6.788395
6.014075,45,6.820991
5.409183,64,6.840165
-6.225692,24,6.840165
6.407933,42,6.860601
6.207958,42,6.891521
6.421773,40,6.91007
4.73537,80,6.946811
6.238833,47,6.963413
5.743632,52,6.983694
6.089763,35,7.004519
6.475386,28,7.097214
-6.382933,23,7.107227
-7.624343,25,7.121743
5.674009,38,7.138425
-9.213917,32,7.154154
6.405543,34,7.169066
-7.80954,32,7.179316
6.509604,40,7.19804
6.009879,49,7.216988
-9.825811,32,7.222255
6.43661,42,7.230862
-13.953516,3,7.230862
-7.313664,29,7.251624
-6.767025,38,7.261888
-6.990389,34,7.272146
6.966019,30,7.292881
-6.27202,31,7.386699
6.171461,27,7.386699
6.096694,32,7.396883
6.484212,40,7.41729
-6.458507,27,7.42238
6.454041,31,7.427385
-8.222342,13,7.439794
5.855324,35,7.447821
6.465335,30,7.460551
6.679492,27,7.468529
5.284037,63,7.499323
6.031007,39,7.515443
-8.031682,28,7.522302
-7.338604,55,7.550951
5.857513,54,7.573236
6.551009,37,7.644399
5.353568,61,7.665257
-8.621482,38,7.675374
-10.395667,17,7.685558
-6.56181,36,7.702669
5.911372,48,7.716539
6.733842,33,7.726868
5.661804,38,7.74768
6.103103,42,7.757983
6.472969,34,7.768404
6.535982,15,7.77873
-9.248055,29,7.786631
-9.585033,18,7.789012
-8.591307,42,7.800526
-11.280859,32,7.820109
-7.799434,59,7.931547
-7.488032,28,7.96361
5.752944,61,7.995003
-6.522972,37,8.013741
-11.267779,10,8.013741
6.38947,38,8.034492
7.008566,25,8.034492
-16.150766,3,8.044867
-7.276064,30,8.044867
6.204465,45,8.065788
-7.232803,41,8.086996
6.020558,42,8.106986
6.730917,23,8.119345
6.752668,29,8.129906
-6.124427,11,8.138402
6.356918,40,8.252092
-7.968387,55,8.271402
5.106624,59,8.29496
-8.826548,60,8.313023
-16.078642,3,8.313023
-14.601618,6,8.313023
5.986519,46,8.333597
-10.589687,40,8.34377
5.857769,46,8.354107
6.671873,35,8.364712
5.847594,40,8.387972
6.318294,43,8.397708
5.496059,51,8.418802
-7.575871,8,8.423099
6.488197,34,8.531555
5.73131,60,8.54177
6.301449,43,8.560473
-6.505255,26,8.567008
5.745335,48,8.587214
5.130293,56,8.603045
6.377002,21,8.613692
6.169383,48,8.644171
-16.078302,3,8.644171
5.175374,58,8.662145
-12.033442,6,8.664151
6.5417,35,8.674403
-7.202012,31,8.684542
-8.218857,27,8.694376
5.683248,60,8.796012
-9.919474,25,8.796012
-8.763594,28,8.807609
4.892351,73,8.832106
5.926825,50,8.847494
-10.681467,27,8.857977
-16.099253,4,8.868187
-7.360801,53,8.880702
-7.379133,12,8.892565
5.924403,32,8.909611
6.099021,40,8.930534
-9.286123,16,8.94104
6.207138,46,8.951137
-16.454759,14,8.961592
-14.305829,11,8.961592
-6.389805,36,8.971965
6.043959,45,9.061792
5.946154,43,9.074112
6.190617,36,9.084289
5.566973,44,9.094473
-9.247982,44,9.115547
4.874823,63,9.139139
5.853721,44,9.151155
5.770511,54,9.167149
-7.133179,38,9.177714
6.428004,41,9.189211
-7.619361,53,9.206098
5.924107,42,9.323957
-7.210709,24,9.331759
-8.687014,26,9.337039
5.460378,61,9.35898
5.523445,52,9.386232
5.994475,40,9.397172
-6.935187,39,9.413017
-7.29241,26,9.422314
6.128469,42,9.435548
